Era,Period,Group,Title,Start Date,End Date,Description,Impact
Ancient History & Antiquity,TRUE,General,Agricultural Revolution,-10000,-2000,Transition from nomadic life to settled farming and domestication.,
Ancient History & Antiquity,TRUE,General,Rise of Mesopotamian civilization,-3500,-500,Emergence of the first urban civilizations in Mesopotamia.,
Ancient History & Antiquity,TRUE,General,Egyptian civilization and pyramids,-2600,-2500,"Development of advanced society in ancient Egypt, including pyramid-building.",
Ancient History & Antiquity,TRUE,General,Foundation of Judaism,-2000,-1500,Emergence of the monotheistic religion of Judaism.,
Ancient History & Antiquity,,General,Code of Hammurabi,-1754,-1754,One of the earliest codified legal systems established in Babylon.,
Ancient History & Antiquity,TRUE,General,Rise of Ancient Greece,-800,-300,"Foundation of Greek civilization, philosophy, and democracy.",
Ancient History & Antiquity,,General,Confucius and Confucianism,-551,-479,Confucius develops ethical and philosophical teachings influencing East Asia.,
Ancient History & Antiquity,TRUE,General,Roman Republic and Empire,-509,476,"Rise and dominance of Roman political, cultural, and military power.",
Ancient History & Antiquity,TRUE,General,Democracy in Athens,-508,-322,Establishment of democratic governance in ancient Athens.,
Ancient History & Antiquity,,General,Buddha’s Enlightenment,-500,-500,"Siddhartha Gautama attains enlightenment, founding Buddhism.",
Ancient History & Antiquity,,General,Alexander the Great’s empire,-336,-323,Military conquests creating one of the largest ancient empires.,
Ancient History & Antiquity,TRUE,General,Silk Road trade routes,-200,1400,"Trade network connecting East and West, facilitating cultural exchange.",
Ancient History & Antiquity,,General,Jesus Christ and Christianity,1,100,Life and teachings of Jesus Christ initiating Christianity.,
Ancient History & Antiquity,,General,Fall of Western Roman Empire,476,476,"Collapse of the Western Roman Empire, marking the beginning of the Middle Ages.",
Middle Ages,TRUE,General,Tang Dynasty in China,618,907,"Chinese dynasty noted for prosperity, culture, and innovation.",
Middle Ages,,General,Foundation of Islam,622,622,"Muhammad founds Islam, rapidly becoming a major world religion.",
Middle Ages,TRUE,General,Viking expansions,793,1066,Scandinavian explorers and warriors expand influence across Europe and North America.,
Middle Ages,,General,Charlemagne crowned Holy Roman Emperor,800,800,Unification of Western Europe under Charlemagne.,
Middle Ages,TRUE,General,The Crusades,1095,1291,Religious wars between Christians and Muslims over the Holy Land.,
Middle Ages,TRUE,General,Mongol Empire & Genghis Khan’s conquests,1206,1368,Largest contiguous land empire established under Genghis Khan.,
Middle Ages,,General,Magna Carta signed,1215,1215,Foundation of constitutional governance in England.,
Early Modern Period,TRUE,General,Renaissance in Europe,1300,1600,"Cultural rebirth emphasizing humanism, arts, and science.",
Middle Ages,,General,Black Death pandemic,1347,1351,Devastating plague outbreak significantly reducing Europe's population.,
Early Modern Period,,Literature,Invention of the Printing Press,1440,1440,Johannes Gutenberg invents the movable-type printing press in Germany.,"Mass production of books became possible, increasing access to literature and literacy rates."
Early Modern Period,,General,Printing Press invention by Gutenberg,1440,1440,Johannes Gutenberg invents the movable-type printing press.,
Middle Ages,,General,Fall of Constantinople,1453,1453,Ottoman conquest marking the end of the Byzantine Empire.,
Middle Ages,,Literature,Columbus Discovers America,1492,1492,Christopher Columbus lands in the Americas.,Initiated European colonization and extensive cultural exchange.
Early Modern Period,,General,Columbus’s voyage to the Americas,1492,1492,Christopher Columbus initiates European exploration of the Americas.,
Early Modern Period,,General,Vasco da Gama reaches India,1498,1498,First maritime route established directly from Europe to India.,
Early Modern Period,TRUE,General,Atlantic Slave Trade,1500,1880,Forced transportation of Africans to the Americas as enslaved labor.,
Early Modern Period,,General,Martin Luther & Protestant Reformation,1517,1517,Religious reform movement challenging Catholic Church authority.,
Early Modern Period,TRUE,Literature,The Protestant Reformation,1517,1648,Religious upheaval starting with Martin Luther’s 95 Theses and ending with the Peace of Westphalia.,Literature began exploring individual faith and critique of religious authority; rise of vernacular writing.
